,0
795,Office suite software
796,Microsoft Office
797,Operating system software
798,Apple macOS
799,Microsoft Windows
800,Oracle Solaris
801,Shell script
802,Point of sale POS software
803,Presentation software
804,Apple Keynote
805,Google Slides
806,Microsoft PowerPoint
807,Process mapping and design software
808,Microsoft Visio
809,Project management software
810,Confluence
811,Microsoft Project
812,Oracle Primavera Enterprise Project Portfolio Management
813,Realization Streamliner
814,Sales and marketing software
815,Google AdWords
816,HubSpot software
817,Marketo Marketing Automation
818,Spreadsheet software
819,Microsoft Excel
820,Time accounting software
821,Kronos Workforce Payroll
822,Kronos Workforce Timekeeper
823,Payroll software
824,Transaction security and virus protection software
825,McAfee
826,Symantec
827,Transaction server software
828,Customer information control system CICS
829,Video creation and editing software
830,Apple Final Cut Pro
831,Flipgrid
832,Screencastify
833,YouTube
834,Web page creation and editing software
835,Facebook
836,LinkedIn
837,Microsoft FrontPage
838,Social media sites
839,Word processing software
840,Evernote
841,Google Docs
842,Microsoft OneNote
843,Microsoft Word
844,Accounting software
845,Accounts receivable software
846,Fund accounting software
847,Intuit QuickBooks
848,Sage 50 Accounting
849,Analytical or scientific software
850,IBM SPSS Statistics
851,SAS
852,Business intelligence and data analysis software
853,IBM Cognos Impromptu
854,MicroStrategy
855,Oracle Business Intelligence Enterprise Edition
856,Qlik Tech QlikView
857,Cloud-based data access and sharing software
858,Microsoft SharePoint
859,Customer relationship management CRM software
860,Blackbaud The Raiser's Edge
861,Salesforce software
862,Data base management system software
863,Teradata Database
864,Data base reporting software
865,SAP Crystal Reports
866,Data base user interface and query software
867,Microsoft SQL Server
868,Oracle software
869,Structured query language SQL
870,Yardi software
871,Development environment software
872,Microsoft Visual Basic
873,Microsoft Visual Basic for Applications VBA
874,Document management software
875,Adobe Systems Adobe Acrobat
876,Electronic mail software
877,IBM Notes
878,Microsoft Exchange
879,Microsoft Outlook
880,Enterprise resource planning ERP software
881,Microsoft Dynamics GP
882,NetSuite ERP
883,Oracle Hyperion
884,Oracle JD Edwards EnterpriseOne
885,Enterprise system management software
886,IBM Power Systems software
887,Financial analysis software
888,ARES Corporation PRISM Project Estimator
889,Credit management software
890,Delphi Technology
891,Oracle E-Business Suite Financials
892,Human resources software
893,ADP Workforce Now
894,Human resource information system HRIS
895,Human resource management software HRMS
896,Information retrieval or search software
897,LexisNexis
898,Internet browser software
899,Medical software
900,Healthcare common procedure coding system HCPCS
901,Object or component oriented development software
902,R
903,Office suite software
904,Microsoft Office
905,Operating system software
906,Microsoft Windows
907,Presentation software
908,Microsoft PowerPoint
909,Process mapping and design software
910,Microsoft Visio
911,Project management software
912,Microsoft Project
913,Oracle Primavera Enterprise Project Portfolio Management
914,Sales and marketing software
915,Marketo Marketing Automation
916,Spreadsheet software
917,Microsoft Excel
918,Moody's KMV FAMAS
919,Word processing software
920,Microsoft Word
921,Accounting software
922,Deltek Costpoint
923,Intuit QuickBooks
924,Analytical or scientific software
925,Business analysis software
926,Relex Weibull
927,Cloud-based data access and sharing software
928,Microsoft SharePoint
929,Data base reporting software
930,AdRelevance
931,Data base user interface and query software
932,Microsoft Access
933,Microsoft Dynamics Marketing
934,Microsoft SQL Server
935,Structured query language SQL
936,Desktop publishing software
937,Adobe Systems Adobe PageMaker
938,Quark
939,Document management software
940,Atlas Business Solutions Staff Files
941,Document management system software
942,Electronic mail software
943,IBM Notes
944,Microsoft Outlook
945,Enterprise resource planning ERP software
946,Microsoft Dynamics GP
947,Oracle Hyperion
948,Oracle JD Edwards EnterpriseOne
949,Oracle PeopleSoft
950,Graphics or photo imaging software
951,Adobe Systems Adobe Illustrator
952,Adobe Systems Adobe Photoshop
953,Human resources software
954,ADP Workforce Now
955,Human resource information system HRIS
956,Human resource management software HRMS
957,Vantage Point Software HRA
958,Internet browser software
959,Web browser software
960,Medical software
961,e-MDs Bill
962,Healthcare common procedure coding system HCPCS
963,Office suite software
964,Microsoft Office
965,Presentation software
966,Microsoft PowerPoint
967,Process mapping and design software
968,Microsoft Visio
969,Project management software
970,Experience in Software Webplanner
